Date,NAV
31-05-2017,8.66
01-06-2017,8.67
02-06-2017,8.67
05-06-2017,8.64
06-06-2017,8.67
07-06-2017,8.61
08-06-2017,8.60
09-06-2017,8.55
12-06-2017,8.52
13-06-2017,8.54
14-06-2017,8.56
15-06-2017,8.47
16-06-2017,8.47
19-06-2017,8.53
20-06-2017,8.31
21-06-2017,8.34
22-06-2017,8.43
23-06-2017,8.48
26-06-2017,8.53
27-06-2017,8.50
28-06-2017,8.54
29-06-2017,8.49
30-06-2017,8.53
03-07-2017,8.55
05-07-2017,8.49
06-07-2017,8.52
07-07-2017,8.50
10-07-2017,8.53
11-07-2017,8.53
12-07-2017,8.64
13-07-2017,8.65
14-07-2017,8.75
17-07-2017,8.76
18-07-2017,8.84
19-07-2017,8.96
20-07-2017,8.99
21-07-2017,8.96
24-07-2017,8.97
25-07-2017,8.96
26-07-2017,8.99
27-07-2017,8.91
28-07-2017,8.98
31-07-2017,9.00
01-08-2017,9.01
02-08-2017,8.99
03-08-2017,9.03
04-08-2017,9.06
07-08-2017,9.16
08-08-2017,9.12
09-08-2017,9.06
10-08-2017,8.94
11-08-2017,8.94
14-08-2017,9.02
15-08-2017,9.03
16-08-2017,9.06
17-08-2017,8.93
18-08-2017,8.99
21-08-2017,8.89
22-08-2017,8.96
23-08-2017,8.97
24-08-2017,9.01
25-08-2017,9.01
28-08-2017,9.02
29-08-2017,9.04
30-08-2017,9.05
31-08-2017,9.06
01-09-2017,9.07
05-09-2017,9.05
06-09-2017,9.05
07-09-2017,9.09
08-09-2017,9.06
11-09-2017,9.13
12-09-2017,9.15
13-09-2017,9.09
14-09-2017,9.19
15-09-2017,9.18
18-09-2017,9.14
19-09-2017,9.16
20-09-2017,9.17
21-09-2017,9.12
22-09-2017,9.13
25-09-2017,8.95
26-09-2017,8.91
27-09-2017,8.97
28-09-2017,8.95
29-09-2017,8.94
02-10-2017,8.99
03-10-2017,9.08
04-10-2017,9.08
05-10-2017,9.09
06-10-2017,9.10
09-10-2017,9.04
10-10-2017,9.12
11-10-2017,9.13
12-10-2017,9.18
13-10-2017,9.21
16-10-2017,9.15
17-10-2017,9.19
18-10-2017,9.19
19-10-2017,9.13
20-10-2017,9.15
23-10-2017,9.15
24-10-2017,9.09
25-10-2017,9.08
26-10-2017,9.13
27-10-2017,9.24
30-10-2017,9.28
31-10-2017,9.28
01-11-2017,9.28
02-11-2017,9.30
03-11-2017,9.22
06-11-2017,9.30
07-11-2017,9.16
08-11-2017,9.25
09-11-2017,9.11
10-11-2017,9.05
13-11-2017,9.04
14-11-2017,9.01
